,loss,amp_loss,phi_loss,noise,PSNR
347,inf,inf,0.9999999403953552,0.347,
348,inf,inf,0.9999999403953552,0.348,
349,inf,inf,0.9999999403953552,0.349,
350,inf,inf,0.9999999403953552,0.35,
351,inf,inf,0.9999999403953552,0.351,
352,inf,inf,0.9999999403953552,0.352,
353,inf,inf,0.9999999403953552,0.353,
354,inf,inf,0.9999999403953552,0.354,
355,inf,inf,0.9999999403953552,0.355,
356,inf,inf,0.9999999403953552,0.356,
357,inf,inf,0.9999999403953552,0.357,
358,inf,inf,0.9999999403953552,0.358,
359,inf,inf,0.9999999403953552,0.359,
360,inf,inf,0.9999999403953552,0.36,
361,inf,inf,0.9999999403953552,0.361,
362,inf,inf,0.9999999403953552,0.362,
363,inf,inf,0.9999999403953552,0.363,
364,inf,inf,0.9999999403953552,0.364,
365,inf,inf,0.9999999403953552,0.365,
366,inf,inf,0.9999999403953552,0.366,
367,inf,inf,0.9999999403953552,0.367,
368,inf,inf,0.9999999403953552,0.368,
369,inf,inf,0.9999999403953552,0.369,
370,inf,inf,0.9999999403953552,0.37,
371,inf,inf,0.9999999403953552,0.371,
372,inf,inf,0.9999999403953552,0.372,
373,inf,inf,0.9999999403953552,0.373,
374,inf,inf,0.9999999403953552,0.374,
375,inf,inf,0.9999999403953552,0.375,
376,inf,inf,0.9999999403953552,0.376,
377,inf,inf,0.9999999403953552,0.377,
378,inf,inf,0.9999999403953552,0.378,
379,inf,inf,0.9999999403953552,0.379,
380,inf,inf,0.9999999403953552,0.38,
381,inf,inf,0.9999999403953552,0.381,
382,inf,inf,0.9999999403953552,0.382,
383,inf,inf,0.9999999403953552,0.383,
384,inf,inf,0.9999999403953552,0.384,
385,inf,inf,0.9999999403953552,0.385,
386,inf,inf,0.9999999403953552,0.386,
387,inf,inf,0.9999999403953552,0.387,
388,inf,inf,0.9999999403953552,0.388,
389,inf,inf,0.9999999403953552,0.389,
390,inf,inf,0.9999999403953552,0.39,
391,inf,inf,0.9999999403953552,0.391,
392,inf,inf,0.9999999403953552,0.392,
393,inf,inf,0.9999999403953552,0.393,
394,inf,inf,0.9999999403953552,0.394,
395,inf,inf,0.9999999403953552,0.395,
396,inf,inf,0.9999999403953552,0.396,
397,inf,inf,0.9999999403953552,0.397,
398,inf,inf,0.9999999403953552,0.398,
399,inf,inf,0.9999999403953552,0.399,
400,inf,inf,0.9999999403953552,0.4,
401,inf,inf,0.9999999403953552,0.401,
402,inf,inf,0.9999999403953552,0.402,
403,inf,inf,0.9999999403953552,0.403,
404,inf,inf,0.9999999403953552,0.404,
405,inf,inf,0.9999999403953552,0.405,
406,inf,inf,0.9999999403953552,0.406,
407,inf,inf,0.9999999403953552,0.407,
408,inf,inf,0.9999999403953552,0.408,
409,inf,inf,0.9999999403953552,0.409,
410,inf,inf,0.9999999403953552,0.41,
411,inf,inf,0.9999999403953552,0.411,
412,inf,inf,0.9999999403953552,0.412,
413,inf,inf,0.9999999403953552,0.413,
414,inf,inf,0.9999999403953552,0.414,
415,inf,inf,0.9999999403953552,0.415,
416,inf,inf,0.9999999403953552,0.416,
417,inf,inf,0.9999999403953552,0.417,
418,inf,inf,0.9999999403953552,0.418,
419,inf,inf,0.9999999403953552,0.419,
420,inf,inf,0.9999999403953552,0.42,
421,inf,inf,0.9999999403953552,0.421,
422,inf,inf,0.9999999403953552,0.422,
423,inf,inf,0.9999999403953552,0.423,
424,inf,inf,0.9999999403953552,0.424,
425,inf,inf,0.9999999403953552,0.425,
426,inf,inf,0.9999999403953552,0.426,
427,inf,inf,0.9999999403953552,0.427,
428,inf,inf,0.9999999403953552,0.428,
429,inf,inf,0.9999999403953552,0.429,
430,inf,inf,0.9999999403953552,0.43,
431,inf,inf,0.9999999403953552,0.431,
432,inf,inf,0.9999999403953552,0.432,
433,inf,inf,0.9999999403953552,0.433,
434,inf,inf,0.9999999403953552,0.434,
435,inf,inf,0.9999999403953552,0.435,
436,inf,inf,0.9999999403953552,0.436,
437,inf,inf,0.9999999403953552,0.437,
438,inf,inf,0.9999999403953552,0.438,
439,inf,inf,0.9999999403953552,0.439,
440,inf,inf,0.9999999403953552,0.44,
441,inf,inf,0.9999999403953552,0.441,
442,inf,inf,0.9999999403953552,0.442,
443,inf,inf,0.9999999403953552,0.443,
444,inf,inf,0.9999999403953552,0.444,
445,inf,inf,0.9999999403953552,0.445,
446,inf,inf,0.9999999403953552,0.446,
447,inf,inf,0.9999999403953552,0.447,
448,inf,inf,0.9999999403953552,0.448,
449,inf,inf,0.9999999403953552,0.449,
450,inf,inf,0.9999999403953552,0.45,
451,inf,inf,0.9999999403953552,0.451,
452,inf,inf,0.9999999403953552,0.452,
453,inf,inf,0.9999999403953552,0.453,
454,inf,inf,0.9999999403953552,0.454,
455,inf,inf,0.9999999403953552,0.455,
456,inf,inf,0.9999999403953552,0.456,
457,inf,inf,0.9999999403953552,0.457,
458,inf,inf,0.9999999403953552,0.458,
459,inf,inf,0.9999999403953552,0.459,
460,inf,inf,0.9999999403953552,0.46,
461,inf,inf,0.9999999403953552,0.461,
462,inf,inf,0.9999999403953552,0.462,
463,inf,inf,0.9999999403953552,0.463,
464,inf,inf,0.9999999403953552,0.464,
465,inf,inf,0.9999999403953552,0.465,
466,inf,inf,0.9999999403953552,0.466,
467,inf,inf,0.9999999403953552,0.467,
468,inf,inf,0.9999999403953552,0.468,
469,inf,inf,0.9999999403953552,0.469,
470,inf,inf,0.9999999403953552,0.47,
471,inf,inf,0.9999999403953552,0.471,
472,inf,inf,0.9999999403953552,0.472,
473,inf,inf,0.9999999403953552,0.473,
474,inf,inf,0.9999999403953552,0.474,
475,inf,inf,0.9999999403953552,0.475,
476,inf,inf,0.9999999403953552,0.476,
477,inf,inf,0.9999999403953552,0.477,
478,inf,inf,0.9999999403953552,0.478,
479,inf,inf,0.9999999403953552,0.479,
480,inf,inf,0.9999999403953552,0.48,
481,inf,inf,0.9999999403953552,0.481,
482,inf,inf,0.9999999403953552,0.482,
483,inf,inf,0.9999999403953552,0.483,
484,inf,inf,0.9999999403953552,0.484,
485,inf,inf,0.9999999403953552,0.485,
486,inf,inf,0.9999999403953552,0.486,
